iter	Passed	Remaining
1509	164508	380221
1510	164615	380108
1511	164733	380020
1512	164843	379914
1513	164968	379841
1514	165079	379737
1515	165176	379600
1516	165285	379491
1517	165384	379361
1518	165486	379235
1519	165594	379123
1520	165681	378964
1521	165780	378832
1522	165884	378712
1523	166003	378627
1524	166106	378506
1525	166233	378437
1526	166352	378351
1527	166473	378269
1528	166584	378165
1529	166689	378047
1530	166802	377948
1531	166904	377821
1532	167006	377697
1533	167104	377565
1534	167203	377433
1535	167303	377305
1536	167403	377174
1537	167506	377053
1538	167606	376924
1539	167698	376777
1540	167808	376670
1541	167906	376537
1542	168011	376420
1543	168110	376288
1544	168213	376167
1545	168314	376041
1546	168428	375943
1547	168534	375826
1548	168649	375731
1549	168749	375603
1550	168852	375482
1551	168955	375359
1552	169060	375243
1553	169153	375098
1554	169243	374948
1555	169346	374826
1556	169448	374701
1557	169542	374560
1558	169656	374463
1559	169745	374309
1560	169852	374198
1561	169961	374090
1562	170063	373964
1563	170155	373819
1564	170266	373716
1565	170375	373607
1566	170483	373497
1567	170598	373402
1568	170701	373279
1569	170796	373140
1570	170900	373021
1571	171044	372990
1572	171129	372829
1573	171234	372711
1574	171330	372575
1575	171448	372486
1576	171537	372335
1577	171640	372213
1578	171742	372090
1579	171845	371969
1580	171940	371831
1581	172033	371687
1582	172126	371545
1583	172229	371424
1584	172340	371319
1585	172434	371179
1586	172525	371032
1587	172621	370896
1588	172736	370800
1589	172837	370675
1590	172953	370584
1591	173056	370461
1592	173153	370328
1593	173259	370215
1594	173359	370086
1595	173473	369989
1596	173569	369853
1597	173668	369725
1598	173776	369615
1599	173888	369512
1600	173982	369373
1601	174081	369243
1602	174189	369133
1603	174294	369016
1604	174393	368888
1605	174496	368768
1606	174594	368637
1607	174678	368475
1608	174778	368349
1609	174874	368213
1610	174968	368075
1611	175064	367938
1612	175162	367809
1613	175292	367744
1614	175393	367620
1615	175509	367526
1616	175622	367428
1617	175726	367308
1618	175813	367156
1619	175921	367045
1620	176026	366930
1621	176128	366808
1622	176241	366709
1623	176352	366605
1624	176462	366499
1625	176560	366368
1626	176668	366258
1627	176767	366129
1628	176858	365985
1629	176961	365864
1630	177057	365730
1631	177157	365605
1632	177269	365503
1633	177385	365408
1634	177483	365279
1635	177600	365188
1636	177699	365060
1637	177806	364949
1638	177918	364846
1639	178012	364708
1640	178120	364598
1641	178226	364484
1642	178323	364353
1643	178410	364201
1644	178518	364090
1645	178617	363963
1646	178718	363839
1647	178807	363690
1648	178911	363573
1649	179022	363470
1650	179127	363354
1651	179237	363249
1652	179334	363116
1653	179420	362963
1654	179529	362856
1655	179642	362755
